year,sex,n_all
1880,F,97605
1880,M,118399
1881,F,98855
1881,M,108276
1882,F,115694
1882,M,122031
1883,F,120060
1883,M,112475
1884,F,137585
1884,M,122738
1885,F,141947
1885,M,115945
1886,F,153734
1886,M,119041
1887,F,155423
1887,M,109311
1888,F,189445
1888,M,129907
1889,F,189218
1889,M,119032
1890,F,201663
1890,M,119700
1891,F,196566
1891,M,109265
1892,F,224913
1892,M,131452
1893,F,225232
1893,M,121041
1894,F,235972
1894,M,124892
1895,F,247106
1895,M,126642
1896,F,251993
1896,M,129070
1897,F,248275
1897,M,121942
1898,F,274146
1898,M,132099
1899,F,247489
1899,M,115194
1900,F,317738
1900,M,162124
1901,F,254229
1901,M,115592
1902,F,280330
1902,M,132750
1903,F,278196
1903,M,129322
1904,F,292435
1904,M,138503
1905,F,309863
1905,M,143233
1906,F,313434
1906,M,144066
1907,F,337433
1907,M,158584
1908,F,354530
1908,M,166367
1909,F,368094
1909,M,176863
1910,F,419526
1910,M,208516
1911,F,441817
1911,M,241395
1912,F,586715
1912,M,451456
1913,F,654914
1913,M,536247
1914,F,796628
1914,M,683320
1915,F,1023862
1915,M,880925
1916,F,1085716
1916,M,923241
1917,F,1123689
1917,M,959307
1918,F,1202356
1918,M,1048651
1919,F,1174637
1919,M,1015326
1920,F,1244033
1920,M,1100782
1921,F,1279718
1921,M,1137930
1922,F,1247576
1922,M,1125197
1923,F,1252464
1923,M,1132274
1924,F,1295673
1924,M,1169032
1925,F,1263079
1925,M,1151420
1926,F,1230173
1926,M,1145443
1927,F,1236441
1927,M,1161918
1928,F,1195532
1928,M,1141164
1929,F,1157552
1929,M,1107607
1930,F,1166456
1930,M,1129513
1931,F,1103718
1931,M,1069775
1932,F,1106297
1932,M,1074434
1933,F,1046039
1933,M,1020192
1934,F,1082341
1934,M,1061935
1935,F,1086768
1935,M,1069593
1936,F,1077556
1936,M,1064299
1937,F,1101846
1937,M,1093644
1938,F,1141451
1938,M,1136492
1939,F,1134069
1939,M,1133305
1940,F,1181346
1940,M,1186169
1941,F,1245992
1941,M,1254859
1942,F,1390474
1942,M,1408298
1943,F,1435403
1943,M,1454616
1944,F,1366527
1944,M,1389159
1945,F,1346111
1945,M,1371451
1946,F,1612905
1946,M,1650391
1947,F,1817871
1947,M,1857580
1948,F,1742683
1948,M,1782748
1949,F,1755515
1949,M,1802001
1950,F,1758529
1950,M,1818806
1951,F,1847272
1951,M,1911680
1952,F,1901993
1952,M,1973288
1953,F,1929506
1953,M,2002214
1954,F,1990843
1954,M,2069135
1955,F,2004901
1955,M,2090260
1956,F,2059534
1956,M,2146229
1957,F,2098135
1957,M,2188901
1958,F,2065751
1958,M,2154872
1959,F,2078611
1959,M,2166475
1960,F,2079741
1960,M,2165354
1961,F,2077143
1961,M,2156992
1962,F,2026891
1962,M,2101687
1963,F,1988078
1963,M,2064633
1964,F,1957358
1964,M,2027035
1965,F,1827463
1965,M,1894602
1966,F,1755771
1966,M,1817631
1967,F,1716836
1967,M,1779431
1968,F,1709684
1968,M,1775439
1969,F,1762735
1969,M,1829161
1970,F,1831855
1970,M,1904778
1971,F,1752596
1971,M,1817868
1972,F,1612552
1972,M,1674047
1973,F,1554107
1973,M,1613640
1974,F,1566255
1974,M,1630250
1975,F,1560867
1975,M,1622400
1976,F,1571897
1976,M,1632590
1977,F,1645001
1977,M,1709358
1978,F,1643893
1978,M,1708609
1979,F,1723277
1979,M,1791321
1980,F,1780645
1980,M,1854762
1981,F,1788511
1981,M,1862382
1982,F,1814286
1982,M,1887182
1983,F,1789670
1983,M,1863586
1984,F,1803315
1984,M,1876702
1985,F,1846316
1985,M,1924408
1986,F,1845491
1986,M,1921688
1987,F,1874217
1987,M,1950208
1988,F,1923113
1988,M,2002269
1989,F,1992183
1989,M,2095982
1990,F,2054400
1990,M,2152030
1991,F,2033422
1991,M,2119686
1992,F,2004676
1992,M,2099169
1993,F,1971534
1993,M,2065518
1994,F,1949381
1994,M,2038349
1995,F,1921557
1995,M,2011365
1996,F,1917238
1996,M,2003728
1997,F,1909245
1997,M,1997783
1998,F,1938504
1998,M,2027644
1999,F,1946801
1999,M,2039003
2000,F,1995743
2000,M,2088325
2001,F,1980939
2001,M,2068408
2002,F,1975012
2002,M,2066658
2003,F,2006445
2003,M,2101163
2004,F,2017809
2004,M,2113357
2005,F,2029572
2005,M,2127339
2006,F,2090521
2006,M,2192365
2007,F,2116502
2007,M,2215072
2008,F,2082870
2008,M,2180420
2009,F,2025080
2009,M,2120914
2010,F,1960686
2010,M,2054412
2011,F,1937692
2011,M,2031414
2012,F,1939467
2012,M,2029180
2013,F,1927676
2013,M,2020699
2014,F,1956322
2014,M,2049216
2015,F,1950871
2015,M,2044439
2016,F,1935879
2016,M,2025629
2017,F,1889159
2017,M,1979121
2018,F,1859655
2018,M,1943744
2019,F,1834876
2019,M,1921774
2020,F,1767691
2020,M,1849670
2021,F,1791567
2021,M,1873605
2022,F,1793069
2022,M,1872977
2023,F,1749200
2023,M,1831150
